region_id,MGNREGA_Index,shock,distribution,income,distortion,structural,rank_desc,group
VIZIANAGARAM_ANDHRA PRADESH,0.5727371141158899,0.6128386019512165,0.9439412211054454,0.943943020340091,0.0560569796599089,0.3069057475227878,1,Top 5
BALRAMPUR_CHHATTISGARH,0.5720420411744864,0.6423876992840627,0.691371832115198,0.6913742524424682,0.3086257475575316,0.5264506744731715,2,Top 5
SRIKAKULAM_ANDHRA PRADESH,0.5717022551034916,0.620588992013742,0.8057071694762594,0.80570850527606,0.19429149472393975,0.4322151140274572,3,Top 5
VELLORE_TAMIL NADU,0.5711005893619505,0.6493668965891066,0.7680343640993537,0.7680381680734211,0.23196183192657882,0.43810168612129263,4,Top 5
THANJAVUR_TAMIL NADU,0.5688573353478679,0.6174450859842971,0.7446577747598193,0.7446621460124419,0.2553378539875579,0.482183815995223,5,Top 5
BHARUCH_GUJARAT,0.5272032386008108,0.6180099121459027,0.042614762868640084,0.042614132803326224,0.9573858671966737,0.9753915179895112,252,Bottom 5
KOLHAPUR_MAHARASHTRA,0.526521324661916,0.6207080108708573,0.01645021343021574,0.01644909512052913,0.9835509048794708,0.9954483990085073,253,Bottom 5
SOLAPUR_MAHARASHTRA,0.526185274025256,0.6157584724311935,0.02238334381159688,0.02238219137970518,0.9776178086202947,0.9927845538834899,254,Bottom 5
REWARI_HARYANA,0.526034080798965,0.6168119497565212,0.023726500878162603,0.02372574816480347,0.9762742518351966,0.989631953360141,255,Bottom 5
GHAZIABAD_UTTAR PRADESH,0.5235626982176163,0.6198881719295201,7.074654184664657e-07,0.0,1.0,0.9979246116931424,256,Bottom 5
