year,shock,distribution,income,distortion,structural,composite_equal,composite_weighted
2015.0,0.30866642077817324,0.6994366721856365,0.5716796875,0.3643973214285714,0.41434734548778246,0.47170548947603275,0.46891894444351284
2016.0,0.32338346071925733,0.695081557518048,0.56640625,0.3604910714285714,0.44702659061089767,0.47847778605535485,0.47662240551988916
2017.0,0.3289396185167624,0.6898584499942876,0.5521484375,0.36997767857142855,0.45579174549929546,0.4793431860163548,0.4772912830136215
2018.0,0.3233078093341401,0.6604044848305514,0.5255859375,0.3805803571428571,0.4467187248467477,0.4673194627308592,0.4644558353404234
2019.0,0.32667014711938297,0.6805822406338925,0.577734375,0.3950892857142857,0.46967551400867924,0.48995031249524806,0.4865293555655029
2020.0,0.33190466994566603,0.5766601933257958,0.5234375,0.4453125,0.3946963977615041,0.4544022522065932,0.4487318607038765
2021.0,0.3271691025622064,0.6138991588873579,0.5380859375,0.4341517857142857,0.4934411279104105,0.4813494225148521,0.4760002883572481
2022.0,0.33071279450975477,0.6420952442148419,0.551953125,0.41350446428571425,0.4783931411037555,0.4833317538228133,0.47919217033401534
2023.0,0.3350667302378918,0.6142466184347117,0.5146484375,0.4118303571428571,0.44520771644136015,0.46419997195136414,0.46036179060611593
2024.0,0.32887984670673187,0.6547319562687025,0.5548828125,0.40234375,0.49278346333416334,0.4867243657619195,0.48305117059725616
